# frame_id image_name x y z qx qy qz qw
0 0000.png -0.200000 -0.500000 1.400000 0.599863 -0.209117 -0.254222 0.729250
1 0001.png -0.164854 -0.453753 1.388442 0.602482 -0.195735 -0.239079 0.735897
2 0002.png -0.132870 -0.407625 1.377010 0.605081 -0.181798 -0.223039 0.742347
3 0003.png -0.103967 -0.361613 1.365708 0.607642 -0.167337 -0.206132 0.748518
4 0004.png -0.078067 -0.315713 1.354539 0.610148 -0.152398 -0.188408 0.754318
5 0005.png -0.055090 -0.269923 1.343507 0.612582 -0.137040 -0.169943 0.759660
6 0006.png -0.034958 -0.224239 1.332614 0.614927 -0.121333 -0.150837 0.764455
7 0007.png -0.017591 -0.178660 1.321865 0.617167 -0.105357 -0.131213 0.768628
8 0008.png -0.002909 -0.133180 1.311261 0.619288 -0.089203 -0.111216 0.772112
9 0009.png 0.009166 -0.087799 1.300807 0.621278 -0.072969 -0.091007 0.774859
10 0010.png 0.018713 -0.042512 1.290505 0.623128 -0.056753 -0.070753 0.776843
11 0011.png 0.025811 0.002683 1.280360 0.624832 -0.040659 -0.050629 0.778054
12 0012.png 0.030541 0.047789 1.270373 0.626386 -0.024782 -0.030801 0.778510
13 0013.png 0.032981 0.092809 1.260550 0.627791 -0.009216 -0.011425 0.778244
14 0014.png 0.033209 0.137747 1.250891 0.629050 0.005957 0.007361 0.777307
15 0015.png 0.031306 0.182605 1.241402 0.630169 0.020664 0.025438 0.775766
16 0016.png 0.027351 0.227386 1.232085 0.631159 0.034844 0.042713 0.773692
17 0017.png 0.021422 0.272094 1.222944 0.632030 0.048449 0.059114 0.771165
18 0018.png 0.013599 0.316730 1.213981 0.632796 0.061441 0.074594 0.768264
19 0019.png 0.003961 0.361299 1.205200 0.633472 0.073795 0.089125 0.765065
20 0020.png -0.007413 0.405803 1.196605 0.634072 0.085497 0.102698 0.761640
21 0021.png -0.020443 0.450245 1.188198 0.634613 0.096539 0.115317 0.758056
22 0022.png -0.035051 0.494629 1.179983 0.635109 0.106922 0.127000 0.754370
23 0023.png -0.051157 0.538956 1.171963 0.635577 0.116654 0.137772 0.750635
24 0024.png -0.068682 0.583231 1.164141 0.636029 0.125746 0.147665 0.746894
25 0025.png -0.087547 0.627456 1.156521 0.636480 0.134214 0.156714 0.743183
26 0026.png -0.107673 0.671634 1.149106 0.636942 0.142075 0.164958 0.739532
27 0027.png -0.128981 0.715768 1.141899 0.637427 0.149347 0.172435 0.735967
28 0028.png -0.151390 0.759861 1.134903 0.637947 0.156052 0.179183 0.732506
29 0029.png -0.174823 0.803916 1.128122 0.638509 0.162208 0.185238 0.729165
30 0030.png -0.199200 0.847936 1.121558 0.639125 0.167835 0.190636 0.725954
31 0031.png -0.224442 0.891924 1.115216 0.639801 0.172951 0.195409 0.722882
32 0032.png -0.250470 0.935884 1.109098 0.640546 0.177573 0.199587 0.719954
33 0033.png -0.277204 0.979817 1.103208 0.641367 0.181719 0.203197 0.717173
34 0034.png -0.304565 1.023728 1.097549 0.642271 0.185401 0.206263 0.714542
35 0035.png -0.332474 1.067618 1.092124 0.643263 0.188632 0.208807 0.712061
36 0036.png -0.360853 1.111492 1.086936 0.644350 0.191424 0.210847 0.709728
37 0037.png -0.389621 1.155351 1.081989 0.645537 0.193786 0.212400 0.707542
38 0038.png -0.418700 1.199200 1.077286 0.646829 0.195724 0.213477 0.705501
39 0039.png -0.448010 1.243040 1.072830 0.648232 0.197244 0.214091 0.703601
40 0040.png -0.477473 1.286876 1.068625 0.649752 0.198348 0.214248 0.701839
41 0041.png -0.507009 1.330709 1.064674 0.651392 0.199038 0.213955 0.700211
42 0042.png -0.536538 1.374543 1.060979 0.653158 0.199312 0.213213 0.698712
43 0043.png -0.565982 1.418382 1.057545 0.655055 0.199168 0.212024 0.697338
44 0044.png -0.595262 1.462227 1.054374 0.657088 0.198600 0.210386 0.696083
45 0045.png -0.624298 1.506082 1.051470 0.659260 0.197599 0.208294 0.694942
46 0046.png -0.653012 1.549950 1.048836 0.661577 0.196156 0.205742 0.693908
47 0047.png -0.681323 1.593834 1.046475 0.664043 0.194258 0.202722 0.692975
48 0048.png -0.709154 1.637737 1.044391 0.666661 0.191890 0.199222 0.692136
49 0049.png -0.736424 1.681662 1.042587 0.669434 0.189033 0.195231 0.691382
50 0050.png -0.763054 1.725611 1.041065 0.672365 0.185668 0.190733 0.690705
51 0051.png -0.788966 1.769589 1.039830 0.675455 0.181771 0.185711 0.690095
52 0052.png -0.814080 1.813597 1.038885 0.678705 0.177316 0.180147 0.689540
53 0053.png -0.838317 1.857639 1.038233 0.682113 0.172275 0.174022 0.689028
54 0054.png -0.861598 1.901718 1.037876 0.685676 0.166616 0.167313 0.688545
55 0055.png -0.883843 1.945837 1.037819 0.689388 0.160305 0.160000 0.688075
56 0056.png -0.904974 1.989998 1.038065 0.693239 0.153307 0.152060 0.687600
57 0057.png -0.924911 2.034206 1.038616 0.697218 0.145585 0.143472 0.687101
58 0058.png -0.943575 2.078462 1.039477 0.701307 0.137100 0.134216 0.686555
59 0059.png -0.960887 2.122770 1.040650 0.705484 0.127814 0.124273 0.685939
60 0060.png -0.976768 2.167132 1.042139 0.709720 0.117691 0.113629 0.685226
61 0061.png -0.991138 2.211553 1.043946 0.713981 0.106697 0.102275 0.684388
62 0062.png -1.003919 2.256034 1.046076 0.718224 0.094804 0.090207 0.683396
63 0063.png -1.015031 2.300579 1.048531 0.722399 0.081992 0.077431 0.682218
64 0064.png -1.024395 2.345190 1.051315 0.726448 0.068249 0.063963 0.680826
65 0065.png -1.031932 2.389871 1.054431 0.730308 0.053579 0.049829 0.679188
66 0066.png -1.037562 2.434625 1.057883 0.733907 0.038001 0.035069 0.677279
67 0067.png -1.041207 2.479455 1.061672 0.737170 0.021552 0.019737 0.675076
68 0068.png -1.042787 2.524363 1.065804 0.740020 0.004293 0.003902 0.672559
69 0069.png -1.042224 2.569353 1.070280 0.742385 -0.013694 -0.012354 0.669720
70 0070.png -1.039437 2.614428 1.075105 0.744193 -0.032305 -0.028935 0.666555
71 0071.png -1.034349 2.659590 1.080281 0.745387 -0.051414 -0.045736 0.663070
72 0072.png -1.026878 2.704843 1.085812 0.745922 -0.070879 -0.062646 0.659282
73 0073.png -1.016948 2.750190 1.091701 0.745767 -0.090542 -0.079548 0.655214
74 0074.png -1.004477 2.795633 1.097951 0.744915 -0.110243 -0.096329 0.650898
75 0075.png -0.989399 2.841165 1.104562 0.743350 -0.129565 -0.112682 0.646487
76 0076.png -0.971769 2.886669 1.111486 0.741057 -0.147742 -0.128062 0.642345
77 0077.png -0.951718 2.931956 1.118647 0.738114 -0.164898 -0.142639 0.638476
78 0078.png -0.929378 2.976840 1.125971 0.734573 -0.181208 -0.156609 0.634854
79 0079.png -0.904882 3.021131 1.133381 0.730463 -0.196831 -0.170151 0.631451
80 0080.png -0.878362 3.064642 1.140801 0.725789 -0.211913 -0.183429 0.628233
81 0081.png -0.849951 3.107185 1.148155 0.720537 -0.226591 -0.196599 0.625165
82 0082.png -0.819781 3.148572 1.155367 0.714672 -0.240991 -0.209813 0.622211
83 0083.png -0.787985 3.188615 1.162362 0.708140 -0.255230 -0.223220 0.619328
84 0084.png -0.754694 3.227126 1.169064 0.700871 -0.269418 -0.236975 0.616471
85 0085.png -0.720041 3.263917 1.175396 0.692770 -0.283658 -0.251236 0.613586
86 0086.png -0.684159 3.298801 1.181284 0.683724 -0.298046 -0.266173 0.610608
87 0087.png -0.647180 3.331588 1.186650 0.673592 -0.312668 -0.281970 0.607458
88 0088.png -0.609236 3.362091 1.191419 0.662208 -0.327600 -0.298823 0.604039
89 0089.png -0.570460 3.390122 1.195516 0.649378 -0.342903 -0.316948 0.600225
90 0090.png -0.530984 3.415493 1.198864 0.634878 -0.358614 -0.336572 0.595856
91 0091.png -0.490941 3.438017 1.201388 0.618463 -0.374741 -0.357934 0.590725
92 0092.png -0.450463 3.457504 1.203011 0.599866 -0.391248 -0.381270 0.584567
93 0093.png -0.409681 3.473768 1.203658 0.578826 -0.408042 -0.406789 0.577049
94 0094.png -0.368730 3.486619 1.203253 0.555112 -0.424959 -0.434640 0.567758
95 0095.png -0.327741 3.495871 1.201719 0.528571 -0.441758 -0.464857 0.556211
96 0096.png -0.286845 3.501337 1.198983 0.499326 -0.458068 -0.497151 0.541929
97 0097.png -0.246146 3.502945 1.195018 0.469569 -0.472896 -0.529055 0.525333
98 0098.png -0.205696 3.500806 1.189875 0.440477 -0.485977 -0.559303 0.506938
99 0099.png -0.165547 3.495050 1.183616 -0.412541 0.497402 0.587407 -0.487190
100 0100.png -0.125746 3.485803 1.176299 -0.386110 0.507330 0.613059 -0.466577
101 0101.png -0.086345 3.473193 1.167985 -0.361395 0.515953 0.636125 -0.445568
102 0102.png -0.047393 3.457349 1.158731 -0.338477 0.523471 0.656621 -0.424572
103 0103.png -0.008940 3.438398 1.148599 -0.317344 0.530069 0.674667 -0.403912
104 0104.png 0.028965 3.416468 1.137647 -0.297915 0.535913 0.690452 -0.383824
105 0105.png 0.066272 3.391687 1.125936 -0.280072 0.541142 0.704196 -0.364462
