#frame name x y z qx qy qz qw
0 0.png 4.500000 7.000000 0.700000 0.707107 0.000000 0.000000 0.707107
1 1.png 4.495977 7.063296 0.710101 0.707107 0.000000 0.000000 0.707107
2 2.png 4.483974 7.125574 0.720202 0.707107 0.000000 0.000000 0.707107
3 3.png 4.464184 7.185831 0.730303 0.707107 0.000000 0.000000 0.707107
4 4.png 4.436925 7.243098 0.740404 0.707107 0.000000 0.000000 0.707107
5 5.png 4.402635 7.296454 0.750505 0.707107 0.000000 0.000000 0.707107
6 6.png 4.361867 7.345040 0.760606 0.707107 0.000000 0.000000 0.707107
7 7.png 4.315276 7.388073 0.770707 0.707107 0.000000 0.000000 0.707107
8 8.png 4.263613 7.424863 0.780808 0.707107 0.000000 0.000000 0.707107
9 9.png 4.207708 7.454816 0.790909 0.707107 0.000000 0.000000 0.707107
10 10.png 4.148460 7.477451 0.801010 0.707107 0.000000 0.000000 0.707107
11 11.png 4.086824 7.492404 0.811111 0.707107 0.000000 0.000000 0.707107
12 12.png 4.023791 7.499434 0.821212 0.707107 0.000000 0.000000 0.707107
13 13.png 3.960375 7.498427 0.831313 0.707107 0.000000 0.000000 0.707107
14 14.png 3.897597 7.489401 0.841414 0.707107 0.000000 0.000000 0.707107
15 15.png 3.836466 7.472500 0.851515 0.707107 0.000000 0.000000 0.707107
16 16.png 3.777967 7.447997 0.861616 0.707107 0.000000 0.000000 0.707107
17 17.png 3.723040 7.416285 0.871717 0.707107 0.000000 0.000000 0.707107
18 18.png 3.672570 7.377875 0.881818 0.707107 0.000000 0.000000 0.707107
19 19.png 3.627368 7.333385 0.891919 0.707107 0.000000 0.000000 0.707107
20 20.png 3.588162 7.283530 0.902020 0.707107 0.000000 0.000000 0.707107
21 21.png 3.555582 7.229113 0.912121 0.707107 0.000000 0.000000 0.707107
22 22.png 3.530154 7.171010 0.922222 0.707107 0.000000 0.000000 0.707107
23 23.png 3.512285 7.110155 0.932323 0.707107 0.000000 0.000000 0.707107
24 24.png 3.502264 7.047528 0.942424 0.707107 0.000000 0.000000 0.707107
25 25.png 3.500252 6.984136 0.952525 0.707107 0.000000 0.000000 0.707107
26 26.png 3.506281 6.920999 0.962626 0.707107 0.000000 0.000000 0.707107
27 27.png 3.520254 6.859134 0.972727 0.707107 0.000000 0.000000 0.707107
28 28.png 3.541946 6.799535 0.982828 0.707107 0.000000 0.000000 0.707107
29 29.png 3.571008 6.743161 0.992929 0.707107 0.000000 0.000000 0.707107
30 30.png 3.606973 6.690921 1.003030 0.707107 0.000000 0.000000 0.707107
31 31.png 3.649263 6.643653 1.013131 0.707107 0.000000 0.000000 0.707107
32 32.png 3.697195 6.602119 1.023232 0.707107 0.000000 0.000000 0.707107
33 33.png 3.750000 6.566987 1.033333 0.707107 0.000000 0.000000 0.707107
34 34.png 3.806827 6.538823 1.043434 0.707107 0.000000 0.000000 0.707107
35 35.png 3.866763 6.518079 1.053535 0.707107 0.000000 0.000000 0.707107
36 36.png 3.928843 6.505089 1.063636 0.707107 0.000000 0.000000 0.707107
37 37.png 3.992067 6.500063 1.073737 0.707107 0.000000 0.000000 0.707107
38 38.png 4.055419 6.503081 1.083838 0.707107 0.000000 0.000000 0.707107
39 39.png 4.117879 6.514094 1.093939 0.707107 0.000000 0.000000 0.707107
40 40.png 4.178443 6.532926 1.104040 0.707107 0.000000 0.000000 0.707107
41 41.png 4.236136 6.559273 1.114141 0.707107 0.000000 0.000000 0.707107
42 42.png 4.290028 6.592712 1.124242 0.707107 0.000000 0.000000 0.707107
43 43.png 4.339255 6.632704 1.134343 0.707107 0.000000 0.000000 0.707107
44 44.png 4.383022 6.678606 1.144444 0.707107 0.000000 0.000000 0.707107
45 45.png 4.420627 6.729680 1.154545 0.707107 0.000000 0.000000 0.707107
46 46.png 4.451463 6.785103 1.164646 0.707107 0.000000 0.000000 0.707107
47 47.png 4.475036 6.843983 1.174747 0.707107 0.000000 0.000000 0.707107
48 48.png 4.490964 6.905374 1.184848 0.707107 0.000000 0.000000 0.707107
49 49.png 4.498993 6.968288 1.194949 0.707107 0.000000 0.000000 0.707107
50 50.png 4.498993 7.031712 1.205051 0.707107 0.000000 0.000000 0.707107
51 51.png 4.490964 7.094626 1.215152 0.707107 0.000000 0.000000 0.707107
52 52.png 4.475036 7.156017 1.225253 0.707107 0.000000 0.000000 0.707107
53 53.png 4.451463 7.214897 1.235354 0.707107 0.000000 0.000000 0.707107
54 54.png 4.420627 7.270320 1.245455 0.707107 0.000000 0.000000 0.707107
55 55.png 4.383022 7.321394 1.255556 0.707107 0.000000 0.000000 0.707107
56 56.png 4.339255 7.367296 1.265657 0.707107 0.000000 0.000000 0.707107
57 57.png 4.290028 7.407288 1.275758 0.707107 0.000000 0.000000 0.707107
58 58.png 4.236136 7.440727 1.285859 0.707107 0.000000 0.000000 0.707107
59 59.png 4.178443 7.467074 1.295960 0.707107 0.000000 0.000000 0.707107
60 60.png 4.117879 7.485906 1.306061 0.707107 0.000000 0.000000 0.707107
61 61.png 4.055419 7.496919 1.316162 0.707107 0.000000 0.000000 0.707107
62 62.png 3.992067 7.499937 1.326263 0.707107 0.000000 0.000000 0.707107
63 63.png 3.928843 7.494911 1.336364 0.707107 0.000000 0.000000 0.707107
64 64.png 3.866763 7.481921 1.346465 0.707107 0.000000 0.000000 0.707107
65 65.png 3.806827 7.461177 1.356566 0.707107 0.000000 0.000000 0.707107
66 66.png 3.750000 7.433013 1.366667 0.707107 0.000000 0.000000 0.707107
67 67.png 3.697195 7.397881 1.376768 0.707107 0.000000 0.000000 0.707107
68 68.png 3.649263 7.356347 1.386869 0.707107 0.000000 0.000000 0.707107
69 69.png 3.606973 7.309079 1.396970 0.707107 0.000000 0.000000 0.707107
70 70.png 3.571008 7.256839 1.407071 0.707107 0.000000 0.000000 0.707107
71 71.png 3.541946 7.200465 1.417172 0.707107 0.000000 0.000000 0.707107
72 72.png 3.520254 7.140866 1.427273 0.707107 0.000000 0.000000 0.707107
73 73.png 3.506281 7.079001 1.437374 0.707107 0.000000 0.000000 0.707107
74 74.png 3.500252 7.015864 1.447475 0.707107 0.000000 0.000000 0.707107
75 75.png 3.502264 6.952472 1.457576 0.707107 0.000000 0.000000 0.707107
76 76.png 3.512285 6.889845 1.467677 0.707107 0.000000 0.000000 0.707107
77 77.png 3.530154 6.828990 1.477778 0.707107 0.000000 0.000000 0.707107
78 78.png 3.555582 6.770887 1.487879 0.707107 0.000000 0.000000 0.707107
79 79.png 3.588162 6.716470 1.497980 0.707107 0.000000 0.000000 0.707107
80 80.png 3.627368 6.666615 1.508081 0.707107 0.000000 0.000000 0.707107
81 81.png 3.672570 6.622125 1.518182 0.707107 0.000000 0.000000 0.707107
82 82.png 3.723040 6.583715 1.528283 0.707107 0.000000 0.000000 0.707107
83 83.png 3.777967 6.552003 1.538384 0.707107 0.000000 0.000000 0.707107
84 84.png 3.836466 6.527500 1.548485 0.707107 0.000000 0.000000 0.707107
85 85.png 3.897597 6.510599 1.558586 0.707107 0.000000 0.000000 0.707107
86 86.png 3.960375 6.501573 1.568687 0.707107 0.000000 0.000000 0.707107
87 87.png 4.023791 6.500566 1.578788 0.707107 0.000000 0.000000 0.707107
88 88.png 4.086824 6.507596 1.588889 0.707107 0.000000 0.000000 0.707107
89 89.png 4.148460 6.522549 1.598990 0.707107 0.000000 0.000000 0.707107
90 90.png 4.207708 6.545184 1.609091 0.707107 0.000000 0.000000 0.707107
91 91.png 4.263613 6.575137 1.619192 0.707107 0.000000 0.000000 0.707107
92 92.png 4.315276 6.611927 1.629293 0.707107 0.000000 0.000000 0.707107
93 93.png 4.361867 6.654960 1.639394 0.707107 0.000000 0.000000 0.707107
94 94.png 4.402635 6.703546 1.649495 0.707107 0.000000 0.000000 0.707107
95 95.png 4.436925 6.756902 1.659596 0.707107 0.000000 0.000000 0.707107
96 96.png 4.464184 6.814169 1.669697 0.707107 0.000000 0.000000 0.707107
97 97.png 4.483974 6.874426 1.679798 0.707107 0.000000 0.000000 0.707107
