#frame name x y z qx qy qz qw
0 0.png 1.800000 6.300000 0.800000 0.707107 0.000000 0.000000 0.707107
1 1.png 1.795977 6.363296 0.810101 0.707107 0.000000 0.000000 0.707107
2 2.png 1.783974 6.425574 0.820202 0.707107 0.000000 0.000000 0.707107
3 3.png 1.764184 6.485831 0.830303 0.707107 0.000000 0.000000 0.707107
4 4.png 1.736925 6.543098 0.840404 0.707107 0.000000 0.000000 0.707107
5 5.png 1.702635 6.596454 0.850505 0.707107 0.000000 0.000000 0.707107
6 6.png 1.661867 6.645040 0.860606 0.707107 0.000000 0.000000 0.707107
7 7.png 1.615276 6.688073 0.870707 0.707107 0.000000 0.000000 0.707107
8 8.png 1.563613 6.724863 0.880808 0.707107 0.000000 0.000000 0.707107
9 9.png 1.507708 6.754816 0.890909 0.707107 0.000000 0.000000 0.707107
10 10.png 1.448460 6.777451 0.901010 0.707107 0.000000 0.000000 0.707107
11 11.png 1.386824 6.792404 0.911111 0.707107 0.000000 0.000000 0.707107
12 12.png 1.323791 6.799434 0.921212 0.707107 0.000000 0.000000 0.707107
13 13.png 1.260375 6.798427 0.931313 0.707107 0.000000 0.000000 0.707107
14 14.png 1.197597 6.789401 0.941414 0.707107 0.000000 0.000000 0.707107
15 15.png 1.136466 6.772500 0.951515 0.707107 0.000000 0.000000 0.707107
16 16.png 1.077967 6.747997 0.961616 0.707107 0.000000 0.000000 0.707107
17 17.png 1.023040 6.716285 0.971717 0.707107 0.000000 0.000000 0.707107
18 18.png 0.972570 6.677875 0.981818 0.707107 0.000000 0.000000 0.707107
19 19.png 0.927368 6.633385 0.991919 0.707107 0.000000 0.000000 0.707107
20 20.png 0.888162 6.583530 1.002020 0.707107 0.000000 0.000000 0.707107
21 21.png 0.855582 6.529113 1.012121 0.707107 0.000000 0.000000 0.707107
22 22.png 0.830154 6.471010 1.022222 0.707107 0.000000 0.000000 0.707107
23 23.png 0.812285 6.410155 1.032323 0.707107 0.000000 0.000000 0.707107
24 24.png 0.802264 6.347528 1.042424 0.707107 0.000000 0.000000 0.707107
25 25.png 0.800252 6.284136 1.052525 0.707107 0.000000 0.000000 0.707107
26 26.png 0.806281 6.220999 1.062626 0.707107 0.000000 0.000000 0.707107
27 27.png 0.820254 6.159134 1.072727 0.707107 0.000000 0.000000 0.707107
28 28.png 0.841946 6.099535 1.082828 0.707107 0.000000 0.000000 0.707107
29 29.png 0.871008 6.043161 1.092929 0.707107 0.000000 0.000000 0.707107
30 30.png 0.906973 5.990921 1.103030 0.707107 0.000000 0.000000 0.707107
31 31.png 0.949263 5.943653 1.113131 0.707107 0.000000 0.000000 0.707107
32 32.png 0.997195 5.902119 1.123232 0.707107 0.000000 0.000000 0.707107
33 33.png 1.050000 5.866987 1.133333 0.707107 0.000000 0.000000 0.707107
34 34.png 1.106827 5.838823 1.143434 0.707107 0.000000 0.000000 0.707107
35 35.png 1.166763 5.818079 1.153535 0.707107 0.000000 0.000000 0.707107
36 36.png 1.228843 5.805089 1.163636 0.707107 0.000000 0.000000 0.707107
37 37.png 1.292067 5.800063 1.173737 0.707107 0.000000 0.000000 0.707107
38 38.png 1.355419 5.803081 1.183838 0.707107 0.000000 0.000000 0.707107
39 39.png 1.417879 5.814094 1.193939 0.707107 0.000000 0.000000 0.707107
40 40.png 1.478443 5.832926 1.204040 0.707107 0.000000 0.000000 0.707107
41 41.png 1.536136 5.859273 1.214141 0.707107 0.000000 0.000000 0.707107
42 42.png 1.590028 5.892712 1.224242 0.707107 0.000000 0.000000 0.707107
43 43.png 1.639255 5.932704 1.234343 0.707107 0.000000 0.000000 0.707107
44 44.png 1.683022 5.978606 1.244444 0.707107 0.000000 0.000000 0.707107
45 45.png 1.720627 6.029680 1.254545 0.707107 0.000000 0.000000 0.707107
46 46.png 1.751463 6.085103 1.264646 0.707107 0.000000 0.000000 0.707107
47 47.png 1.775036 6.143983 1.274747 0.707107 0.000000 0.000000 0.707107
48 48.png 1.790964 6.205374 1.284848 0.707107 0.000000 0.000000 0.707107
49 49.png 1.798993 6.268288 1.294949 0.707107 0.000000 0.000000 0.707107
50 50.png 1.798993 6.331712 1.305051 0.707107 0.000000 0.000000 0.707107
51 51.png 1.790964 6.394626 1.315152 0.707107 0.000000 0.000000 0.707107
52 52.png 1.775036 6.456017 1.325253 0.707107 0.000000 0.000000 0.707107
53 53.png 1.751463 6.514897 1.335354 0.707107 0.000000 0.000000 0.707107
54 54.png 1.720627 6.570320 1.345455 0.707107 0.000000 0.000000 0.707107
55 55.png 1.683022 6.621394 1.355556 0.707107 0.000000 0.000000 0.707107
56 56.png 1.639255 6.667296 1.365657 0.707107 0.000000 0.000000 0.707107
57 57.png 1.590028 6.707288 1.375758 0.707107 0.000000 0.000000 0.707107
58 58.png 1.536136 6.740727 1.385859 0.707107 0.000000 0.000000 0.707107
59 59.png 1.478443 6.767074 1.395960 0.707107 0.000000 0.000000 0.707107
60 60.png 1.417879 6.785906 1.406061 0.707107 0.000000 0.000000 0.707107
61 61.png 1.355419 6.796919 1.416162 0.707107 0.000000 0.000000 0.707107
62 62.png 1.292067 6.799937 1.426263 0.707107 0.000000 0.000000 0.707107
63 63.png 1.228843 6.794911 1.436364 0.707107 0.000000 0.000000 0.707107
64 64.png 1.166763 6.781921 1.446465 0.707107 0.000000 0.000000 0.707107
65 65.png 1.106827 6.761177 1.456566 0.707107 0.000000 0.000000 0.707107
66 66.png 1.050000 6.733013 1.466667 0.707107 0.000000 0.000000 0.707107
67 67.png 0.997195 6.697881 1.476768 0.707107 0.000000 0.000000 0.707107
