#frame name x y z qx qy qz qw
0 0.png 1.300000 0.300000 0.900000 0.707107 0.000000 0.000000 0.707107
1 1.png 1.295977 0.363296 0.910101 0.707107 0.000000 0.000000 0.707107
2 2.png 1.283974 0.425574 0.920202 0.707107 0.000000 0.000000 0.707107
3 3.png 1.264184 0.485831 0.930303 0.707107 0.000000 0.000000 0.707107
4 4.png 1.236925 0.543098 0.940404 0.707107 0.000000 0.000000 0.707107
5 5.png 1.202635 0.596454 0.950505 0.707107 0.000000 0.000000 0.707107
6 6.png 1.161867 0.645040 0.960606 0.707107 0.000000 0.000000 0.707107
7 7.png 1.115276 0.688073 0.970707 0.707107 0.000000 0.000000 0.707107
8 8.png 1.063613 0.724863 0.980808 0.707107 0.000000 0.000000 0.707107
9 9.png 1.007708 0.754816 0.990909 0.707107 0.000000 0.000000 0.707107
10 10.png 0.948460 0.777451 1.001010 0.707107 0.000000 0.000000 0.707107
11 11.png 0.886824 0.792404 1.011111 0.707107 0.000000 0.000000 0.707107
12 12.png 0.823791 0.799434 1.021212 0.707107 0.000000 0.000000 0.707107
13 13.png 0.760375 0.798427 1.031313 0.707107 0.000000 0.000000 0.707107
14 14.png 0.697597 0.789401 1.041414 0.707107 0.000000 0.000000 0.707107
15 15.png 0.636466 0.772500 1.051515 0.707107 0.000000 0.000000 0.707107
16 16.png 0.577967 0.747997 1.061616 0.707107 0.000000 0.000000 0.707107
17 17.png 0.523040 0.716285 1.071717 0.707107 0.000000 0.000000 0.707107
18 18.png 0.472570 0.677875 1.081818 0.707107 0.000000 0.000000 0.707107
19 19.png 0.427368 0.633385 1.091919 0.707107 0.000000 0.000000 0.707107
20 20.png 0.388162 0.583530 1.102020 0.707107 0.000000 0.000000 0.707107
21 21.png 0.355582 0.529113 1.112121 0.707107 0.000000 0.000000 0.707107
22 22.png 0.330154 0.471010 1.122222 0.707107 0.000000 0.000000 0.707107
23 23.png 0.312285 0.410155 1.132323 0.707107 0.000000 0.000000 0.707107
24 24.png 0.302264 0.347528 1.142424 0.707107 0.000000 0.000000 0.707107
25 25.png 0.300252 0.284136 1.152525 0.707107 0.000000 0.000000 0.707107
26 26.png 0.306281 0.220999 1.162626 0.707107 0.000000 0.000000 0.707107
27 27.png 0.320254 0.159134 1.172727 0.707107 0.000000 0.000000 0.707107
28 28.png 0.341946 0.099535 1.182828 0.707107 0.000000 0.000000 0.707107
29 29.png 0.371008 0.043161 1.192929 0.707107 0.000000 0.000000 0.707107
30 30.png 0.406973 -0.009079 1.203030 0.707107 0.000000 0.000000 0.707107
31 31.png 0.449263 -0.056347 1.213131 0.707107 0.000000 0.000000 0.707107
32 32.png 0.497195 -0.097881 1.223232 0.707107 0.000000 0.000000 0.707107
33 33.png 0.550000 -0.133013 1.233333 0.707107 0.000000 0.000000 0.707107
34 34.png 0.606827 -0.161177 1.243434 0.707107 0.000000 0.000000 0.707107
35 35.png 0.666763 -0.181921 1.253535 0.707107 0.000000 0.000000 0.707107
36 36.png 0.728843 -0.194911 1.263636 0.707107 0.000000 0.000000 0.707107
37 37.png 0.792067 -0.199937 1.273737 0.707107 0.000000 0.000000 0.707107
38 38.png 0.855419 -0.196919 1.283838 0.707107 0.000000 0.000000 0.707107
39 39.png 0.917879 -0.185906 1.293939 0.707107 0.000000 0.000000 0.707107
40 40.png 0.978443 -0.167074 1.304040 0.707107 0.000000 0.000000 0.707107
41 41.png 1.036136 -0.140727 1.314141 0.707107 0.000000 0.000000 0.707107
42 42.png 1.090028 -0.107288 1.324242 0.707107 0.000000 0.000000 0.707107
43 43.png 1.139255 -0.067296 1.334343 0.707107 0.000000 0.000000 0.707107
44 44.png 1.183022 -0.021394 1.344444 0.707107 0.000000 0.000000 0.707107
45 45.png 1.220627 0.029680 1.354545 0.707107 0.000000 0.000000 0.707107
46 46.png 1.251463 0.085103 1.364646 0.707107 0.000000 0.000000 0.707107
47 47.png 1.275036 0.143983 1.374747 0.707107 0.000000 0.000000 0.707107
48 48.png 1.290964 0.205374 1.384848 0.707107 0.000000 0.000000 0.707107
49 49.png 1.298993 0.268288 1.394949 0.707107 0.000000 0.000000 0.707107
50 50.png 1.298993 0.331712 1.405051 0.707107 0.000000 0.000000 0.707107
51 51.png 1.290964 0.394626 1.415152 0.707107 0.000000 0.000000 0.707107
52 52.png 1.275036 0.456017 1.425253 0.707107 0.000000 0.000000 0.707107
53 53.png 1.251463 0.514897 1.435354 0.707107 0.000000 0.000000 0.707107
54 54.png 1.220627 0.570320 1.445455 0.707107 0.000000 0.000000 0.707107
55 55.png 1.183022 0.621394 1.455556 0.707107 0.000000 0.000000 0.707107
56 56.png 1.139255 0.667296 1.465657 0.707107 0.000000 0.000000 0.707107
57 57.png 1.090028 0.707288 1.475758 0.707107 0.000000 0.000000 0.707107
58 58.png 1.036136 0.740727 1.485859 0.707107 0.000000 0.000000 0.707107
59 59.png 0.978443 0.767074 1.495960 0.707107 0.000000 0.000000 0.707107
60 60.png 0.917879 0.785906 1.506061 0.707107 0.000000 0.000000 0.707107
61 61.png 0.855419 0.796919 1.516162 0.707107 0.000000 0.000000 0.707107
62 62.png 0.792067 0.799937 1.526263 0.707107 0.000000 0.000000 0.707107
63 63.png 0.728843 0.794911 1.536364 0.707107 0.000000 0.000000 0.707107
64 64.png 0.666763 0.781921 1.546465 0.707107 0.000000 0.000000 0.707107
65 65.png 0.606827 0.761177 1.556566 0.707107 0.000000 0.000000 0.707107
66 66.png 0.550000 0.733013 1.566667 0.707107 0.000000 0.000000 0.707107
67 67.png 0.497195 0.697881 1.576768 0.707107 0.000000 0.000000 0.707107
68 68.png 0.449263 0.656347 1.586869 0.707107 0.000000 0.000000 0.707107
69 69.png 0.406973 0.609079 1.596970 0.707107 0.000000 0.000000 0.707107
70 70.png 0.371008 0.556839 1.607071 0.707107 0.000000 0.000000 0.707107
71 71.png 0.341946 0.500465 1.617172 0.707107 0.000000 0.000000 0.707107
72 72.png 0.320254 0.440866 1.627273 0.707107 0.000000 0.000000 0.707107
73 73.png 0.306281 0.379001 1.637374 0.707107 0.000000 0.000000 0.707107
74 74.png 0.300252 0.315864 1.647475 0.707107 0.000000 0.000000 0.707107
75 75.png 0.302264 0.252472 1.657576 0.707107 0.000000 0.000000 0.707107
76 76.png 0.312285 0.189845 1.667677 0.707107 0.000000 0.000000 0.707107
77 77.png 0.330154 0.128990 1.677778 0.707107 0.000000 0.000000 0.707107
78 78.png 0.355582 0.070887 1.687879 0.707107 0.000000 0.000000 0.707107
79 79.png 0.388162 0.016470 1.697980 0.707107 0.000000 0.000000 0.707107
80 80.png 0.427368 -0.033385 1.708081 0.707107 0.000000 0.000000 0.707107
81 81.png 0.472570 -0.077875 1.718182 0.707107 0.000000 0.000000 0.707107
82 82.png 0.523040 -0.116285 1.728283 0.707107 0.000000 0.000000 0.707107
83 83.png 0.577967 -0.147997 1.738384 0.707107 0.000000 0.000000 0.707107
84 84.png 0.636466 -0.172500 1.748485 0.707107 0.000000 0.000000 0.707107
85 85.png 0.697597 -0.189401 1.758586 0.707107 0.000000 0.000000 0.707107
86 86.png 0.760375 -0.198427 1.768687 0.707107 0.000000 0.000000 0.707107
87 87.png 0.823791 -0.199434 1.778788 0.707107 0.000000 0.000000 0.707107
88 88.png 0.886824 -0.192404 1.788889 0.707107 0.000000 0.000000 0.707107
89 89.png 0.948460 -0.177451 1.798990 0.707107 0.000000 0.000000 0.707107
90 90.png 1.007708 -0.154816 1.809091 0.707107 0.000000 0.000000 0.707107
91 91.png 1.063613 -0.124863 1.819192 0.707107 0.000000 0.000000 0.707107
92 92.png 1.115276 -0.088073 1.829293 0.707107 0.000000 0.000000 0.707107
93 93.png 1.161867 -0.045040 1.839394 0.707107 0.000000 0.000000 0.707107
