# frame_id image_name x y z qx qy qz qw
0 0000.png 0.000000 -3.500000 1.300000 -0.358707 0.609368 0.609368 -0.358707
1 0001.png 0.043298 -3.523196 1.300000 -0.367735 0.603963 0.603963 -0.367735
2 0002.png 0.087190 -3.545064 1.300000 -0.376580 0.598487 0.598487 -0.376580
3 0003.png 0.131654 -3.565617 1.300000 -0.385236 0.592953 0.592953 -0.385236
4 0004.png 0.176666 -3.584866 1.300000 -0.393696 0.587370 0.587370 -0.393696
5 0005.png 0.222203 -3.602825 1.300000 -0.401957 0.581748 0.581748 -0.401957
6 0006.png 0.268241 -3.619505 1.300000 -0.410016 0.576096 0.576096 -0.410016
7 0007.png 0.314759 -3.634918 1.300000 -0.417872 0.570423 0.570423 -0.417872
8 0008.png 0.361732 -3.649077 1.300000 -0.425525 0.564738 0.564738 -0.425525
9 0009.png 0.409137 -3.661995 1.300000 -0.432974 0.559047 0.559047 -0.432974
10 0010.png 0.456951 -3.673683 1.300000 -0.440221 0.553359 0.553359 -0.440221
11 0011.png 0.505151 -3.684154 1.300000 -0.447268 0.547678 0.547678 -0.447268
12 0012.png 0.553715 -3.693421 1.300000 -0.454119 0.542011 0.542011 -0.454119
13 0013.png 0.602618 -3.701494 1.300000 -0.460776 0.536363 0.536363 -0.460776
14 0014.png 0.651837 -3.708388 1.300000 -0.467244 0.530738 0.530738 -0.467244
15 0015.png 0.701350 -3.714114 1.300000 -0.473528 0.525139 0.525139 -0.473528
16 0016.png 0.751133 -3.718684 1.300000 -0.479631 0.519571 0.519571 -0.479631
17 0017.png 0.801163 -3.722110 1.300000 -0.485560 0.514034 0.514034 -0.485560
18 0018.png 0.851416 -3.724406 1.300000 -0.491320 0.508532 0.508532 -0.491320
19 0019.png 0.901871 -3.725583 1.300000 -0.496915 0.503066 0.503066 -0.496915
20 0020.png 0.952503 -3.725654 1.300000 0.502353 -0.497636 -0.497636 0.502353
21 0021.png 1.003290 -3.724630 1.300000 0.507638 -0.492244 -0.492244 0.507638
22 0022.png 1.054207 -3.722525 1.300000 0.512776 -0.486888 -0.486888 0.512776
23 0023.png 1.105233 -3.719350 1.300000 0.517774 -0.481570 -0.481570 0.517774
24 0024.png 1.156344 -3.715119 1.300000 0.522637 -0.476289 -0.476289 0.522637
25 0025.png 1.207516 -3.709842 1.300000 0.527370 -0.471043 -0.471043 0.527370
26 0026.png 1.258727 -3.703533 1.300000 0.531979 -0.465831 -0.465831 0.531979
27 0027.png 1.309954 -3.696203 1.300000 0.536470 -0.460652 -0.460652 0.536470
28 0028.png 1.361172 -3.687866 1.300000 0.540848 -0.455504 -0.455504 0.540848
29 0029.png 1.412360 -3.678533 1.300000 0.545118 -0.450384 -0.450384 0.545118
30 0030.png 1.463494 -3.668216 1.300000 0.549286 -0.445292 -0.445292 0.549286
31 0031.png 1.514550 -3.656929 1.300000 0.553356 -0.440224 -0.440224 0.553356
32 0032.png 1.565506 -3.644683 1.300000 0.557333 -0.435178 -0.435178 0.557333
33 0033.png 1.616339 -3.631490 1.300000 0.561222 -0.430151 -0.430151 0.561222
34 0034.png 1.667024 -3.617363 1.300000 0.565027 -0.425140 -0.425140 0.565027
35 0035.png 1.717540 -3.602315 1.300000 0.568753 -0.420142 -0.420142 0.568753
36 0036.png 1.767863 -3.586357 1.300000 0.572404 -0.415155 -0.415155 0.572404
