# frame_id image_name x y z qx qy qz qw
0 0000.png -0.100000 -2.800000 0.500000 0.753261 -0.024170 -0.021079 0.656940
1 0001.png -0.099218 -2.786747 0.501844 0.754462 -0.020240 -0.017593 0.655795
2 0002.png -0.098594 -2.773830 0.503685 0.755687 -0.016158 -0.013996 0.654584
3 0003.png -0.098126 -2.761248 0.505522 0.756935 -0.011915 -0.010283 0.653301
4 0004.png -0.097811 -2.748998 0.507356 0.758204 -0.007499 -0.006448 0.651942
5 0005.png -0.097647 -2.737077 0.509187 0.759495 -0.002902 -0.002486 0.650502
6 0006.png -0.097631 -2.725481 0.511014 0.760805 0.001888 0.001610 0.648975
7 0007.png -0.097760 -2.714209 0.512837 0.762135 0.006883 0.005846 0.647355
8 0008.png -0.098031 -2.703257 0.514658 0.763481 0.012096 0.010229 0.645636
9 0009.png -0.098443 -2.692623 0.516475 0.764841 0.017540 0.014765 0.643811
10 0010.png -0.098992 -2.682303 0.518289 0.766213 0.023232 0.019462 0.641872
11 0011.png -0.099676 -2.672295 0.520100 0.767592 0.029186 0.024327 0.639811
12 0012.png -0.100492 -2.662597 0.521907 0.768975 0.035420 0.029369 0.637620
13 0013.png -0.101437 -2.653204 0.523712 0.770357 0.041952 0.034596 0.635290
14 0014.png -0.102510 -2.644116 0.525513 0.771731 0.048802 0.040017 0.632810
15 0015.png -0.103706 -2.635327 0.527312 0.773089 0.055990 0.045640 0.630171
16 0016.png -0.105024 -2.626837 0.529107 0.774424 0.063541 0.051474 0.627361
17 0017.png -0.106462 -2.618642 0.530900 0.775723 0.071476 0.057530 0.624367
18 0018.png -0.108015 -2.610739 0.532689 0.776976 0.079822 0.063816 0.621179
19 0019.png -0.109683 -2.603125 0.534476 0.778168 0.088606 0.070343 0.617783
20 0020.png -0.111462 -2.595798 0.536259 0.779282 0.097854 0.077120 0.614164
21 0021.png -0.113349 -2.588755 0.538040 0.780297 0.107597 0.084157 0.610309
22 0022.png -0.115342 -2.581992 0.539818 0.781192 0.117865 0.091463 0.606203
23 0023.png -0.117438 -2.575508 0.541594 0.781939 0.128688 0.099047 0.601831
24 0024.png -0.119635 -2.569299 0.543366 0.782508 0.140098 0.106917 0.597178
25 0025.png -0.121929 -2.563363 0.545136 0.782865 0.152125 0.115081 0.592230
26 0026.png -0.124320 -2.557697 0.546904 0.782969 0.164799 0.123546 0.586973
27 0027.png -0.126803 -2.552297 0.548668 0.782776 0.178148 0.132316 0.581392
28 0028.png -0.129376 -2.547161 0.550431 0.782236 0.192196 0.141396 0.575478
29 0029.png -0.132036 -2.542287 0.552190 0.781293 0.206963 0.150785 0.569219
30 0030.png -0.134781 -2.537671 0.553947 0.779888 0.222464 0.160485 0.562610
31 0031.png -0.137609 -2.533311 0.555702 0.777954 0.238702 0.170490 0.555646
32 0032.png -0.140516 -2.529204 0.557454 0.775423 0.255674 0.180795 0.548327
33 0033.png -0.143500 -2.525346 0.559204 0.772225 0.273364 0.191390 0.540658
34 0034.png -0.146559 -2.521736 0.560952 0.768286 0.291739 0.202261 0.532649
35 0035.png -0.149689 -2.518371 0.562697 0.763537 0.310752 0.213391 0.524317
36 0036.png -0.152888 -2.515246 0.564440 0.757914 0.330336 0.224760 0.515682
37 0037.png -0.156154 -2.512361 0.566180 0.751359 0.350408 0.236341 0.506771
38 0038.png -0.159484 -2.509712 0.567919 0.743827 0.370864 0.248107 0.497619
39 0039.png -0.162874 -2.507295 0.569655 0.735290 0.391583 0.260026 0.488260
40 0040.png -0.166324 -2.505110 0.571389 0.725738 0.412428 0.272061 0.478739
41 0041.png -0.169829 -2.503151 0.573122 0.715183 0.433252 0.284175 0.469096
42 0042.png -0.173388 -2.501417 0.574852 0.703658 0.453902 0.296327 0.459379
43 0043.png -0.176997 -2.499906 0.576580 0.691224 0.474222 0.308474 0.449630
44 0044.png -0.180655 -2.498613 0.578306 0.677959 0.494065 0.320573 0.439892
45 0045.png -0.184357 -2.497536 0.580030 0.663962 0.513292 0.332580 0.430204
46 0046.png -0.188103 -2.496673 0.581752 0.649347 0.531784 0.344453 0.420602
47 0047.png -0.191889 -2.496021 0.583472 0.634238 0.549439 0.356150 0.411117
48 0048.png -0.195712 -2.495576 0.585191 0.618761 0.566179 0.367632 0.401774
49 0049.png -0.199571 -2.495337 0.586907 0.603045 0.581953 0.378863 0.392595
50 0050.png -0.203461 -2.495300 0.588622 0.587210 0.596728 0.389813 0.383595
51 0051.png -0.207382 -2.495462 0.590336 0.571370 0.610497 0.400453 0.374788
52 0052.png -0.211329 -2.495820 0.592047 0.555626 0.623270 0.410763 0.366182
53 0053.png -0.215301 -2.496372 0.593757 0.540063 0.635071 0.420723 0.357782
54 0054.png -0.219294 -2.497116 0.595465 0.524757 0.645940 0.430322 0.349591
55 0055.png -0.223307 -2.498047 0.597172 0.509765 0.655924 0.439553 0.341608
56 0056.png -0.227336 -2.499164 0.598877 0.495134 0.665076 0.448411 0.333832
57 0057.png -0.231380 -2.500463 0.600581 0.480898 0.673452 0.456896 0.326260
58 0058.png -0.235434 -2.501942 0.602283 0.467077 0.681112 0.465013 0.318886
59 0059.png -0.239497 -2.503598 0.603983 0.453687 0.688112 0.472768 0.311706
60 0060.png -0.243566 -2.505428 0.605683 0.440732 0.694509 0.480169 0.304713
61 0061.png -0.247639 -2.507429 0.607381 0.428212 0.700358 0.487227 0.297899
62 0062.png -0.251712 -2.509599 0.609077 0.416119 0.705709 0.493953 0.291258
63 0063.png -0.255784 -2.511934 0.610773 0.404445 0.710609 0.500360 0.284781
64 0064.png -0.259851 -2.514432 0.612467 0.393174 0.715102 0.506461 0.278460
65 0065.png -0.263911 -2.517090 0.614159 0.382293 0.719229 0.512270 0.272288
66 0066.png -0.267961 -2.519905 0.615851 0.371784 0.723026 0.517801 0.266256
67 0067.png -0.271998 -2.522874 0.617542 0.361628 0.726527 0.523067 0.260355
68 0068.png -0.276021 -2.525996 0.619231 0.351806 0.729762 0.528081 0.254579
69 0069.png -0.280026 -2.529265 0.620919 0.342301 0.732757 0.532857 0.248919
70 0070.png -0.284011 -2.532681 0.622607 0.333092 0.735539 0.537406 0.243367
71 0071.png -0.287973 -2.536240 0.624293 0.324161 0.738127 0.541742 0.237915
72 0072.png -0.291910 -2.539939 0.625978 0.315490 0.740543 0.545875 0.232557
73 0073.png -0.295818 -2.543776 0.627663 0.307062 0.742803 0.549817 0.227285
74 0074.png -0.299696 -2.547747 0.629346 0.298859 0.744924 0.553577 0.222091
75 0075.png -0.303540 -2.551851 0.631029 0.290864 0.746920 0.557166 0.216970
76 0076.png -0.307348 -2.556083 0.632711 0.283062 0.748802 0.560592 0.211914
77 0077.png -0.311118 -2.560441 0.634392 0.275437 0.750584 0.563865 0.206918
78 0078.png -0.314846 -2.564923 0.636073 0.267976 0.752274 0.566992 0.201974
79 0079.png -0.318530 -2.569526 0.637752 0.260664 0.753881 0.569981 0.197078
80 0080.png -0.322168 -2.574246 0.639431 0.253487 0.755414 0.572839 0.192222
81 0081.png -0.325757 -2.579082 0.641110 0.246435 0.756879 0.575573 0.187403
82 0082.png -0.329294 -2.584029 0.642787 0.239493 0.758283 0.578189 0.182613
83 0083.png -0.332777 -2.589086 0.644465 0.232651 0.759631 0.580692 0.177848
84 0084.png -0.336202 -2.594249 0.646141 0.225898 0.760929 0.583089 0.173102
85 0085.png -0.339568 -2.599516 0.647818 0.219223 0.762180 0.585383 0.168371
86 0086.png -0.342871 -2.604885 0.649493 0.212615 0.763389 0.587580 0.163650
87 0087.png -0.346110 -2.610351 0.651169 0.206067 0.764558 0.589684 0.158934
88 0088.png -0.349281 -2.615912 0.652844 0.199567 0.765691 0.591699 0.154218
89 0089.png -0.352382 -2.621566 0.654518 0.193107 0.766790 0.593628 0.149498
90 0090.png -0.355410 -2.627310 0.656193 0.186678 0.767856 0.595474 0.144769
91 0091.png -0.358363 -2.633140 0.657867 0.180273 0.768893 0.597242 0.140028
92 0092.png -0.361237 -2.639055 0.659541 0.173882 0.769901 0.598932 0.135269
93 0093.png -0.364031 -2.645050 0.661214 0.167499 0.770881 0.600549 0.130489
94 0094.png -0.366742 -2.651124 0.662888 0.161115 0.771834 0.602095 0.125683
95 0095.png -0.369367 -2.657274 0.664561 0.154724 0.772760 0.603571 0.120849
96 0096.png -0.371903 -2.663496 0.666234 0.148318 0.773660 0.604979 0.115980
97 0097.png -0.374348 -2.669789 0.667908 0.141891 0.774534 0.606322 0.111075
98 0098.png -0.376699 -2.676149 0.669581 0.135435 0.775382 0.607600 0.106128
99 0099.png -0.378954 -2.682572 0.671254 0.128944 0.776202 0.608815 0.101137
100 0100.png -0.381109 -2.689058 0.672927 0.122412 0.776994 0.609968 0.096098
101 0101.png -0.383163 -2.695602 0.674601 0.115832 0.777757 0.611060 0.091006
