#frame name x y z qx qy qz qw
0 0.png 4.400000 3.800000 0.700000 0.707107 0.000000 0.000000 0.707107
1 1.png 4.395173 3.875955 0.710101 0.707107 0.000000 0.000000 0.707107
2 2.png 4.380769 3.950689 0.720202 0.707107 0.000000 0.000000 0.707107
3 3.png 4.357021 4.022997 0.730303 0.707107 0.000000 0.000000 0.707107
4 4.png 4.324310 4.091718 0.740404 0.707107 0.000000 0.000000 0.707107
5 5.png 4.283162 4.155745 0.750505 0.707107 0.000000 0.000000 0.707107
6 6.png 4.234240 4.214047 0.760606 0.707107 0.000000 0.000000 0.707107
7 7.png 4.178332 4.265688 0.770707 0.707107 0.000000 0.000000 0.707107
8 8.png 4.116335 4.309835 0.780808 0.707107 0.000000 0.000000 0.707107
9 9.png 4.049249 4.345779 0.790909 0.707107 0.000000 0.000000 0.707107
10 10.png 3.978152 4.372941 0.801010 0.707107 0.000000 0.000000 0.707107
11 11.png 3.904189 4.390885 0.811111 0.707107 0.000000 0.000000 0.707107
12 12.png 3.828549 4.399320 0.821212 0.707107 0.000000 0.000000 0.707107
13 13.png 3.752450 4.398113 0.831313 0.707107 0.000000 0.000000 0.707107
14 14.png 3.677116 4.387281 0.841414 0.707107 0.000000 0.000000 0.707107
15 15.png 3.603759 4.367000 0.851515 0.707107 0.000000 0.000000 0.707107
16 16.png 3.533560 4.337596 0.861616 0.707107 0.000000 0.000000 0.707107
17 17.png 3.467648 4.299542 0.871717 0.707107 0.000000 0.000000 0.707107
18 18.png 3.407084 4.253450 0.881818 0.707107 0.000000 0.000000 0.707107
19 19.png 3.352841 4.200061 0.891919 0.707107 0.000000 0.000000 0.707107
20 20.png 3.305794 4.140236 0.902020 0.707107 0.000000 0.000000 0.707107
21 21.png 3.266699 4.074936 0.912121 0.707107 0.000000 0.000000 0.707107
22 22.png 3.236184 4.005212 0.922222 0.707107 0.000000 0.000000 0.707107
23 23.png 3.214742 3.932186 0.932323 0.707107 0.000000 0.000000 0.707107
24 24.png 3.202717 3.857034 0.942424 0.707107 0.000000 0.000000 0.707107
25 25.png 3.200302 3.780963 0.952525 0.707107 0.000000 0.000000 0.707107
26 26.png 3.207537 3.705199 0.962626 0.707107 0.000000 0.000000 0.707107
27 27.png 3.224304 3.630960 0.972727 0.707107 0.000000 0.000000 0.707107
28 28.png 3.250335 3.559442 0.982828 0.707107 0.000000 0.000000 0.707107
29 29.png 3.285210 3.491794 0.992929 0.707107 0.000000 0.000000 0.707107
30 30.png 3.328368 3.429105 1.003030 0.707107 0.000000 0.000000 0.707107
31 31.png 3.379115 3.372383 1.013131 0.707107 0.000000 0.000000 0.707107
32 32.png 3.436634 3.322543 1.023232 0.707107 0.000000 0.000000 0.707107
33 33.png 3.500000 3.280385 1.033333 0.707107 0.000000 0.000000 0.707107
34 34.png 3.568193 3.246587 1.043434 0.707107 0.000000 0.000000 0.707107
35 35.png 3.640116 3.221695 1.053535 0.707107 0.000000 0.000000 0.707107
36 36.png 3.714611 3.206107 1.063636 0.707107 0.000000 0.000000 0.707107
37 37.png 3.790480 3.200076 1.073737 0.707107 0.000000 0.000000 0.707107
38 38.png 3.866503 3.203697 1.083838 0.707107 0.000000 0.000000 0.707107
39 39.png 3.941455 3.216913 1.093939 0.707107 0.000000 0.000000 0.707107
40 40.png 4.014132 3.239511 1.104040 0.707107 0.000000 0.000000 0.707107
41 41.png 4.083363 3.271128 1.114141 0.707107 0.000000 0.000000 0.707107
42 42.png 4.148034 3.311254 1.124242 0.707107 0.000000 0.000000 0.707107
43 43.png 4.207106 3.359245 1.134343 0.707107 0.000000 0.000000 0.707107
44 44.png 4.259627 3.414327 1.144444 0.707107 0.000000 0.000000 0.707107
45 45.png 4.304752 3.475616 1.154545 0.707107 0.000000 0.000000 0.707107
46 46.png 4.341756 3.542123 1.164646 0.707107 0.000000 0.000000 0.707107
47 47.png 4.370043 3.612780 1.174747 0.707107 0.000000 0.000000 0.707107
48 48.png 4.389157 3.686449 1.184848 0.707107 0.000000 0.000000 0.707107
49 49.png 4.398792 3.761946 1.194949 0.707107 0.000000 0.000000 0.707107
50 50.png 4.398792 3.838054 1.205051 0.707107 0.000000 0.000000 0.707107
51 51.png 4.389157 3.913551 1.215152 0.707107 0.000000 0.000000 0.707107
52 52.png 4.370043 3.987220 1.225253 0.707107 0.000000 0.000000 0.707107
53 53.png 4.341756 4.057877 1.235354 0.707107 0.000000 0.000000 0.707107
54 54.png 4.304752 4.124384 1.245455 0.707107 0.000000 0.000000 0.707107
55 55.png 4.259627 4.185673 1.255556 0.707107 0.000000 0.000000 0.707107
56 56.png 4.207106 4.240755 1.265657 0.707107 0.000000 0.000000 0.707107
57 57.png 4.148034 4.288746 1.275758 0.707107 0.000000 0.000000 0.707107
58 58.png 4.083363 4.328872 1.285859 0.707107 0.000000 0.000000 0.707107
59 59.png 4.014132 4.360489 1.295960 0.707107 0.000000 0.000000 0.707107
60 60.png 3.941455 4.383087 1.306061 0.707107 0.000000 0.000000 0.707107
61 61.png 3.866503 4.396303 1.316162 0.707107 0.000000 0.000000 0.707107
62 62.png 3.790480 4.399924 1.326263 0.707107 0.000000 0.000000 0.707107
63 63.png 3.714611 4.393893 1.336364 0.707107 0.000000 0.000000 0.707107
64 64.png 3.640116 4.378305 1.346465 0.707107 0.000000 0.000000 0.707107
65 65.png 3.568193 4.353413 1.356566 0.707107 0.000000 0.000000 0.707107
66 66.png 3.500000 4.319615 1.366667 0.707107 0.000000 0.000000 0.707107
67 67.png 3.436634 4.277457 1.376768 0.707107 0.000000 0.000000 0.707107
68 68.png 3.379115 4.227617 1.386869 0.707107 0.000000 0.000000 0.707107
69 69.png 3.328368 4.170895 1.396970 0.707107 0.000000 0.000000 0.707107
70 70.png 3.285210 4.108206 1.407071 0.707107 0.000000 0.000000 0.707107
71 71.png 3.250335 4.040558 1.417172 0.707107 0.000000 0.000000 0.707107
72 72.png 3.224304 3.969040 1.427273 0.707107 0.000000 0.000000 0.707107
73 73.png 3.207537 3.894801 1.437374 0.707107 0.000000 0.000000 0.707107
74 74.png 3.200302 3.819037 1.447475 0.707107 0.000000 0.000000 0.707107
75 75.png 3.202717 3.742966 1.457576 0.707107 0.000000 0.000000 0.707107
76 76.png 3.214742 3.667814 1.467677 0.707107 0.000000 0.000000 0.707107
77 77.png 3.236184 3.594788 1.477778 0.707107 0.000000 0.000000 0.707107
78 78.png 3.266699 3.525064 1.487879 0.707107 0.000000 0.000000 0.707107
79 79.png 3.305794 3.459764 1.497980 0.707107 0.000000 0.000000 0.707107
80 80.png 3.352841 3.399939 1.508081 0.707107 0.000000 0.000000 0.707107
81 81.png 3.407084 3.346550 1.518182 0.707107 0.000000 0.000000 0.707107
82 82.png 3.467648 3.300458 1.528283 0.707107 0.000000 0.000000 0.707107
83 83.png 3.533560 3.262404 1.538384 0.707107 0.000000 0.000000 0.707107
84 84.png 3.603759 3.233000 1.548485 0.707107 0.000000 0.000000 0.707107
85 85.png 3.677116 3.212719 1.558586 0.707107 0.000000 0.000000 0.707107
86 86.png 3.752450 3.201887 1.568687 0.707107 0.000000 0.000000 0.707107
87 87.png 3.828549 3.200680 1.578788 0.707107 0.000000 0.000000 0.707107
88 88.png 3.904189 3.209115 1.588889 0.707107 0.000000 0.000000 0.707107
89 89.png 3.978152 3.227059 1.598990 0.707107 0.000000 0.000000 0.707107
90 90.png 4.049249 3.254221 1.609091 0.707107 0.000000 0.000000 0.707107
91 91.png 4.116335 3.290165 1.619192 0.707107 0.000000 0.000000 0.707107
92 92.png 4.178332 3.334312 1.629293 0.707107 0.000000 0.000000 0.707107
93 93.png 4.234240 3.385953 1.639394 0.707107 0.000000 0.000000 0.707107
94 94.png 4.283162 3.444255 1.649495 0.707107 0.000000 0.000000 0.707107
95 95.png 4.324310 3.508282 1.659596 0.707107 0.000000 0.000000 0.707107
96 96.png 4.357021 3.577003 1.669697 0.707107 0.000000 0.000000 0.707107
97 97.png 4.380769 3.649311 1.679798 0.707107 0.000000 0.000000 0.707107
98 98.png 4.395173 3.724045 1.689899 0.707107 0.000000 0.000000 0.707107
99 99.png 4.400000 3.800000 1.700000 0.707107 0.000000 0.000000 0.707107
